acc_no,hash,length,gc,strandedness,moltype,is_refseq
OL702938,9bdfdf2674f329f10fd8088dd8fba4582fd10166f4f22bfbebd5fa33eb8e62f1,49534,51.14,double,DNA,False
OL770309,32c990829b28351bee821eac2da74d4abcc0f74312589a9268c5ca764df07a39,171269,38.80,double,DNA,False
MW478291,e0cb3736cfdccee1bb8260cc02319050cf302af9117a221626596e8c4087438b,54735,30.10,double,DNA,False
OL455894,e9d88dcccf44f767fedf8e9134b000451c6162c067c7e1f98a080a1524345f6a,49556,66.18,double,DNA,False
MZ892992,0ba0bb836ec53b14089e5815fd6410200c36215397868787677df794bc4cf35c,53826,45.64,double,DNA,False
CP050061,ed9cacfd6a3ff37c4d94dacfb387eec9011708e4ca5f6494ea1008e6c5c1a8f6,59331,35.37,double,DNA,False
OL774570,d483b360dcb94f01bbe5d95d4b8f578d0946d6a782c2cb3607ef7e914294ac8a,65284,52.90,double,DNA,False
OL774874,2cdc168d706c057896c63e39bca695149baf6e4b85c6bffc7ba8992f21620e12,41671,41.41,double,DNA,False
OL549188,291f5f108bb64729f47de1ae15e872d26836312f7803021b377c97f5440d6b7a,43792,67.62,double,DNA,False
OM319461,da96edee38aec9906217ff6425703e390d969493876cb342f524739ac244edb3,287943,43.38,double,DNA,False
OM249958,2af594550bde8d5026437c162e86eafd2642bfe3b536c1f2db386794120be9a7,19105,39.90,double,DNA,False
MW392802,c713c59fe852a1e4f65de129af0d98db8d1dc5fb0d32144812e68b8e5fdbce41,81528,33.89,double,DNA,False
MZ666130,8e66f789ba034aff000ce4ef5111f1f36f278417d871b0e364e5b30fd5184a8a,41014,34.99,double,DNA,False
OK562429,da1cb80d60c4dff578419a3d88f3323e3bfe559b929eef92c4c6e0776d8af9ff,44764,53.66,double,DNA,False
OK665842,3d9d6c57b9cfd790e0fede9ac2603d0bd59cb16d36aeac1ade2be469e1a2f1aa,59762,66.00,double,DNA,False
OL656110,2c557ae5fd2967ae8275212dd8f416b22636779de093aeef91e16c9f81ecf072,154840,48.83,double,DNA,False
LC645422,6b016a52af4017d6e168c224bd404dcf48881f51b280968e9a8cfa3f460ae25b,64332,50.25,double,DNA,False
OK499979,297f0f5afe21364bcaad589aec1a3ae6dd7e7cbf5ce3c4216c6f726cfdfcf308,39748,34.93,double,DNA,False
OK499982,d9561cce313e37be936803e035b7768f2de4ea047656c52393d43ec0e75ae477,39168,47.06,double,DNA,False
OL539443,63c9682e88bd91f2f3c26a698e1c3646c70a3105a738a78ed3d4e0adb69bfae6,50071,42.78,double,DNA,False
OL539456,c1dc2b7bd77e6186646cdc2ef52e066938e3f2f4b63f6884cdd5d2e64f5685a6,41738,45.80,double,DNA,False
OK272478,e79b181cc452c54c70a7d4198756882686401d02a7bf3c6e4a0d9458d5758acf,51210,44.57,double,DNA,False
OK272481,e906c4df43445266202047a57d8bb9476917f3a08c820b32a8638b9fd664970b,49995,44.74,double,DNA,False
OK272489,3adf7b49bfb5e77a826cbb124bcb8247b7400b5e49ffd3f480d982ab1d309d7a,49897,44.73,double,DNA,False
MH319766,29d07aaedcd6089ddfb4243982e26120b3112459632b1b6fe99bab5e2b401345,38924,36.73,double,DNA,False
MH319747,c8e5797077442a4692c7ec731171c29a40f4d4ddf5ae1d4141b0fba3f28c0675,9527,33.60,double,DNA,False
HQ632825,f529e46ee0eb9b1042b1fc663f5d4642e323885349323617125b6848b06f7069,252013,35.53,double,DNA,False
JF974292,b20c63eb1e157d6274d9787e2154c7649da2eb1314674cfa229df0b2279c9df6,179980,41.10,double,DNA,False
HQ634191,26e851647f173857f1fcda8f36167e606221d342b448cbc6fa533090c6f5136a,177103,40.61,double,DNA,False
KX119182,5f17ae4e4da6634379d35a4cd926e6f2bdfb25832661f71d8a895b9138f1f790,19736,37.14,double,DNA,False
MH319752,432766650f4458da54f14c04685c8c5aa6e6faf84d6d0178e77006517d5b1ca3,19248,35.75,double,DNA,False
MH319723,8f657f99b887a7f7e91ef099982b6648cb4561e348fb929e7b94cf5cb9c44dd9,13629,38.65,double,DNA,False
NC_049389,8d28e3f8a1516b690f4d2604f57520652cac0f0971c185303b08827a39f284a5,31128,51.98,double,DNA,True
NC_020844,ec98b331b762c2cf6b07f2555e00f43df8b5e8dfe7ac761d2d2440312da49d28,40695,56.42,double,DNA,True
BK013373,ba0953a868fd934c0e3636b048456e253831d0a3c7dc20e825ff521fee26be2a,3502,52.68,single,RNA,False
BK013949,d4586d4b16b204fbdd721560a6e3e711e06c6dcc630ede521bd9af313d4cf96d,4392,49.29,single,RNA,False
BK013697,ac33b45bc47086f6e8d85b82ed4432c19daf6719b76208774f7fd51e449e2cb3,3536,54.75,single,RNA,False
BK014004,4473284eff8c2981b405e1c32411671aa4b9823f24b7aa2b56884655575b0d8d,4367,55.03,single,RNA,False
BK014005,d9e3f4a3905dfd2766fd49ba5205258a39bf8cacb0c96e4549d02e0654e2bf00,4303,51.78,single,RNA,False
BK013894,889a3403707710d2c6e2dac3d6a0e9878e8ec3161e984b75603e9de625c47d59,4056,48.77,single,RNA,False
BK014152,237da5db8eea059d8a4467db358413e043f87f98d5e5003d56d19be64a6cf527,3709,57.02,single,RNA,False
BK013851,6f5d851d99bd315820c3e048d42566a942d9a85dde83917cb685cec43dd0b9b4,3581,47.08,single,RNA,False
BK013889,d36fa67cd9647ec279696ce779b1c8a397d256a77a054b3b513c934264488d7c,4133,48.75,single,RNA,False
BK013784,3846f2d3b93b514033a2e536d47247aee3144f2f346610c5f58506c5041d048a,3996,51.50,single,RNA,False
BK013838,7a4e2abba47f83b261e1ca0c55e1692c335ae4cd2c7e8f25b1f1ce59ed1ec8a2,3251,54.35,single,RNA,False
BK013899,106809cf06ce9e921c0701476a4aa470a7a0b26bdaaa599b14ec9f6c38442bf8,3718,50.56,single,RNA,False
BK013679,3312a32a0e3325ce410bebc5c30aef9fd0b50021ab6aa6ca05b0258cefdafce9,4084,41.14,single,RNA,False
BK013961,135460a2d4527966899b7de37a0a9c702f7d4d90e0a01ea2ccda8d5e5a176f19,3498,51.72,single,RNA,False
BK013355,544874a3bdd60cfff95fe280f0006b77a84f8852312723b393ef5a81f0cf2d3d,3675,49.50,single,RNA,False
BK013807,c6863b922a23cb9d476bc2c5970a63015ca7c67c2c373ebc1307f367f2f8cb83,3539,48.06,single,RNA,False
BK014068,d7cb4e6639880154f5f7305fd4f549601b3715eddfd2db7a2287310a7fe92fee,3567,49.73,single,RNA,False
BK013649,77454c9e6d35f1f1e628cc6896d99fc62b7becf5b52244e1528b59655c81d827,3826,51.02,single,RNA,False
BK013852,635fb574b47550837c828a759577f434fc768c3b19c66b07a511b9c13454765a,3954,54.43,single,RNA,False
BK014078,c68a2daf84fcf619ba64d0cb98c132a7c8913ebba7d617b093ff024eaf8af198,4309,53.35,single,RNA,False
BK014076,87040ffe97bf2adca9b100d24fb9b8d81ce2c05015423df94c88ca9f9948c735,3601,44.46,single,RNA,False
BK013638,a7c8e051f8724646137b0933b681af047d0a6af6b4c7c33fe49a7fe642fea2f4,3970,43.10,single,RNA,False
BK013575,695019b6fcfe7c0a0ab33a0cf02f2e6f9df8fa4005ce0bfc770fd0fe26a29ac5,4376,45.59,single,RNA,False
BK013634,58520c37870e80af3ad5730bef05ef960356a86e5b16a874fdc89369c197946d,4359,41.78,single,RNA,False
BK013681,858d28c9332e54ad417d448c644008a20057f6bc1758d56382d0f000dc38ccbd,3915,42.55,single,RNA,False
BK013818,3f85629557bddc2bc1039b4b092e56c60ccb3c61694be10dd79dc86fbab342f5,4013,48.59,single,RNA,False
BK014118,860ab70e2e1298e6d7c688641bf4be5df1847bc45bb5e4a4ba4c407d948dc090,3787,56.72,single,RNA,False
BK013788,5dec49b9585e5c7c245eed40a22ebdfb2a6390635e33e3a0076b31800f01c07b,3865,49.24,single,RNA,False
BK013924,1958302cda8260674a1d053b7bf8073d4a2ab92a4cff87e727ebc1991541de36,3901,50.78,single,RNA,False
BK013832,51f172ae165fd58e05eef45d6a61392feab974f5af6830973c769666f673da58,3919,51.85,single,RNA,False
BK013928,90b4ff7b4def4bc555b5e0c2694472af3958ce0e2ab234f51e52e5bb25c84bbd,4348,53.10,single,RNA,False
NC_048200,36b2867c672e2384deac2aabb48ccedf53c99c323f6aa8d8a5f90a6d60d3cea0,40466,56.61,double,DNA,True
BK013643,03898281ae0b8f45f41fb92771cde4ce02b9a4b454a93a0e835f32bb2e39b8c8,4082,53.70,single,RNA,False
BK013767,eb50920e1cd2c302ca130602e478f1256fe3d7f24190321eeb90e09d3b4ebddc,3641,52.35,single,RNA,False
BK013376,82b02a80ca4a2a80eec584916f62fb9034085b46f3222bd373063c69ef64f972,3547,51.90,single,RNA,False
BK013682,dd5ecf629f06748713b9394b221218e509ffb5957f94a68b60318b9c03d0537a,3901,50.29,single,RNA,False
NC_049394,c92ce732281d35f9fe2478741c586909fb3beb650ca183db9849295a98911042,30927,51.48,double,DNA,True
NC_020878,9cd516718f61126f868330156a99e17bbfdf5994a1b5ec17e08a5b2993b2692c,44945,39.55,double,DNA,True
NC_020838,97d247c4e342d5622a49deece2e5db40b3a003e58c0abb293e74fb0dba1eca44,45728,47.34,double,DNA,True
NC_020835,c6fd275ae62eb7d3323ec164f85b4acbf30bf7bf1c1537763c0e0e454959eb27,47325,39.23,double,DNA,True
DQ838728,def3eff6af20cb808c146687365c6b272aef77eb6a89d1df17e3b7a6e46f940c,33613,35.49,double,DNA,False
MK962632,54e9d8f69c28801b443f4ca995e9f82ea244a1e5e4ba2a27ca27eacc5f51667b,70103,55.84,double,DNA,False
MK967400,bd307cf9777f914a68033fc31871af7e4c703c2731cb272250f5f954879bd5c5,41555,63.43,double,DNA,False
MN988546,ba049ae59dcef85b78752aa8e9c0cfcde84955888996159d66f230f402599d80,69421,57.27,double,DNA,False
KY065459,089876844b2eaa7fe6f67625d2ab613d1352456b2a30f4db6821e22999d7950f,34235,40.23,double,DNA,False
KY295893,1f4a0392d7d2a94b24dbe7470449c429ad3ab668a273db4dd5f327ec6cd327e0,44931,44.97,double,DNA,False
MK568062,68f5be96705c7e3a242a96bd4e93fbf1b6916e69d2ed1a958d61ce311eb15e15,50936,46.19,double,DNA,False
MN813695,ee078b69baa4d8513244e5ba7d55f789edc8d18dcc160c906d1792a25884e57b,15556,60.12,double,DNA,False
MN813692,283c7bc81892e4f43bc6ef83ffcc8f819df125f788bdc17861f98e14b13076d4,29641,54.19,double,DNA,False
KJ019132,3a257be8d3fe0059bf06b76e4106e3f21aea249f6b76d3b2d5569eb14915ed68,172261,39.11,double,DNA,False
KT264761,f937075129f7b152485513f5c873cdc92505b3b517df0867b8115f2e2a45fb09,5301,48.20,double,DNA,False
MH460460,ac17caa3f3aeb8ca68d250b537e7abdfa1257b205b6cb45af2a8b3ac55af0157,254061,44.53,double,DNA,False
MH725810,19b9988cfa435e414e3559f2495c7f6080d14bcddb966d7bfb0a581c6ab39f94,92348,49.33,double,DNA,False
MK448550,340a71e47cbf33ba8a0c5a3ae88eed3a52465e88417dfec8d4df28a3d0ba4991,11346,39.95,double,DNA,False
MK448724,6949cc7c7950545e558de0b2d537a57e1055e96007631b0bda17c7d477b25d4a,37618,37.06,double,DNA,False
MK448779,3db76935f1f776733dbd6898525f7391a55f12400a6b2329875820f2c29b8fed,39626,39.77,double,DNA,False
NC_051685,c13a50c11399926c886f74d6bb261a8bf16b05f69464618ed519101c73bff5a4,59268,61.49,double,DNA,True
MK494132,fbf53014b6da04a10b1a85ed8b5ead223ba126c9477baf77c6c4f043a2494eb2,60656,67.56,double,DNA,False
MT497224,ee3b7d401ef52d0dc4c2c74cb6efa2038cc56b0b37155da3d05b991b23f71133,80441,38.25,double,DNA,False
MT708544,eaaa2af35ebb865f44e077080e80649036b1435325d79db59b3727bb2244988b,46322,51.72,double,DNA,False
MW354676,75b45ce4067909a77e8e5a46ddb8cd2a25f2141a8196fbe7bc7f7ec9abde456e,55448,39.91,double,DNA,False
NC_047927,a91ea0f77791a92dc2be3bbed9d09d1a593b0ff0ba21fa993145e5bc2f77c758,38823,50.37,double,DNA,True
NC_031122,966836fc1cbf2f23fce99f24851c7980b107c373372b520b8ee00a8705020114,44929,67.46,double,DNA,True
NC_028795,9c14ecd1fdd416deb66dae24685c87b124eec0155256c7ce3f734448caada68a,31522,50.77,double,DNA,True
MK765647,d9301215561513858d361beb654a3e2d28ad7734d3c60598e460b19e9b1345e2,5820,42.63,double,DNA,False
MT818420,204f8511f50243b0ed7bc7fda36e2e560adb6568c0e8f92028782f73db05b16a,56701,63.76,double,DNA,False
MW735835,e408e61d81cfff7d7da2a7bad3c86dea6227e8953b937c380612aedb0b1a81c2,265520,56.08,double,DNA,False
NC_030909,7918f54c22dc3fcf2639e26608d02f95f8f3b405de803eca4ab00951fe26ba09,50183,62.18,double,DNA,True
KR902984,bb90f22c961f0c8b52123da5373fe584b840f8234e47922a9388829d3d34212e,29551,54.07,double,DNA,False
MH892356,088e33b1977287336ee9e709b9ff5f3a9967c8380cffef5f0f7b600ee48bd728,35351,38.78,double,DNA,False
MK482689,b63d9ea48c3b4e0a81a362e092aa70c9fde4231b264bdc8224b0423e2bd50399,88409,38.91,double,DNA,False
MN882542,0fcc0bd575fbb058f1fe1dfd8e897cb4de796f6b6316465bc2109218a4907f1c,88360,38.76,double,DNA,False
MF140409,64e333138e2d84fe6ba717730f0906f3d8f3d6ed07fd40c2e47fac68edd7de2f,15556,59.64,double,DNA,False
MK764441,90289c0782513c8ec9029c8be713b145a9dcc57bb45c8638fa3a3c9d959982be,89814,26.96,double,DNA,False
MN023185,fcab3915f8eedd680bef0d67e786cf7ced874dd77141f03b97e2553fc9dd8540,36341,60.80,double,DNA,False
MT074138,5ee732afe9215034bfcaf2ad0592f3de3f2dcdac7208a0e960d096ea4027d36d,98900,37.03,double,DNA,False
MN585972,f50a296ad6d8a573cd5b2b053ceea518220a2c768537f1102c66295b0792fe92,60191,64.55,double,DNA,False
MT225101,fd97bd4efa01cd750ed498ad5f0fc8fda9d69953ee03d5c908a7d44fb1c34e83,61072,49.20,double,DNA,False
NC_048655,fa0b9814e073582f5eacc916e6869871e2b54c7bd1968a4057727fdd27a3d6ca,59097,56.54,double,DNA,True
NC_027630,88cb8e66363c325b7eddd7d43fd6b76842c358cb8648beb26d14b5d29242ef78,29506,53.93,double,DNA,True
NC_054978,4f53ae96b0748f76dc8b82fd93766cf7ca3ffb231758289bac4caf02b00d1f06,41882,33.68,double,DNA,True
MH572466,e08c96e8303f53988a88c19b1ec3ae56c18028598f2ad88595026e2cb313fa74,4177,47.88,double,DNA,False
NC_023716,935d6922a15e1aca7007192edcb963efdb5a19ff0c1ec280cf68d9e8179a8e30,53177,62.46,double,DNA,True
JN600672,e97826b79d0fe2a7ea873d8d2ad4f5a8109b7970ada104bcb15547d06f935944,74155,58.69,double,DNA,False
MN988528,1df3789aad718c2ba4e6c43e88536dab730111cf4a885acd85b1e0abdfe23444,46450,49.28,double,DNA,False
MN850578,d211cabc48d3e801bc55d4264df2960f212ca2c56faed6539257f68a11c0e642,137702,43.65,double,DNA,False
NC_021857,ad33cc904c41e0660462e84c1900e18ea45d9782e632f13e99f7950af3b78589,41475,49.17,double,DNA,True
NC_028749,dacbb368bb078a7fae0a97ce4126a154e258bbfce9bf2e0de9cc124bb16c96af,134270,35.50,double,DNA,True
KJ019152,260df58c8883bcdbc6f476a6241555d9374624de274cc0650ce9e17371b3b4ad,221396,41.54,double,DNA,False
KP017310,8a15cd153b932ec35303ed4b0046f50eb68b52d13c6bb55b3084caaf19f39d9b,49267,64.21,double,DNA,False
MN395284,35ae6d515283b2560c6a1773d20b5e4f45a537f46060d111995a1d728e2a04c9,171860,40.66,double,DNA,False
NC_052662,8e56b8b8179e8e5330cbaefa008f6a8db2c976da3cbacf34fbc2a117c5ab053f,151202,38.92,double,DNA,True
MF919509,d30413abb52fe04dad776a3535e0030a25da1ad60d6982b41b8112524857aac6,51374,63.88,double,DNA,False
NC_022066,a0ac7bf63d324ef8cee1528fef9ee5d82a6f3bc836298038e11822ba9ea0d541,108297,60.88,double,DNA,True
MK112548,c6b948945cfc6c2301f0500caa17f26eaa5e7d24e788dcd7abd5dcc52d14136b,154462,64.74,double,DNA,False
MT764206,6386e42b571326e2637530797dade134c9c81e2797a95a58d6cce9f5df48d44e,170340,35.31,double,DNA,False
NC_028919,f0a589b3bad72f51c1fd722f7073bc057f7cd0a2c01dead236cda0abe5a4f8c0,45673,52.39,double,DNA,True
MZ501269,f578c6114f96f3e800277d92bc99e600f4fb8aaeea10790c2b2a9b4e5916fc0d,46062,52.23,double,DNA,False
NC_049921,94087917981346f67af9a2815dd91462a1fc78433138b7ee8080a5f7276d028c,57123,48.73,double,DNA,True
NC_000924,6f1ba4afd91ef5d5842f1fa660e4270b5b780d418369fe43a7b4605aff524ca4,61670,49.37,double,DNA,True
NC_048722,c14cfbb7232e53a56c60b6a182b73d23b11f544fcfb45b9939b007c2c003f602,133007,47.73,double,DNA,True
NC_049827,5fdcbbe7d6e24133b200cca90e0464903bd00a54996ced5e6bc6cd37ec07ac8d,51154,44.15,double,DNA,True
NC_047736,9e4ca9ad1ae21fdf8885b9f76a87d2d7427638f8405ca1d5e404466968e183d2,162598,37.71,double,DNA,True
NC_028774,698e711a556dd2f9a7e2531be08a4e11d31e42a3b43f776ef1ed505edd15bb73,48754,50.77,double,DNA,True
MK249152,88756dc90785bf705271c50bd298a029472f866eb0d19a506a59211b78da4ca6,4731,51.07,double,DNA,False
MW927523,c1a5e608aaffa9ca2483ff88fe639c42ffc6195909b5de503e60f5f1b99ca945,39416,41.79,double,DNA,False
DQ079901,2029677943438123b7710457a79e25bf5d411bf43cbd860faedd5d68a07234ac,5577,46.08,double,DNA,False
MK972716,8b7d5e5e26af7e3363ee79a9d91d11b3f8bff7de7f4179b684d71120f891dafa,107763,39.20,double,DNA,False
MN103542,b05eebb9f0d06492855084d6a6e499fcbf8b68c93b768ef68520a010c06f4072,55876,39.78,double,DNA,False
MT074451,f73a02ce13fd4a4cc1be53f5b01ed675379b9b83537868654cc82ddd457f1d2d,40748,49.81,double,DNA,False
MT074484,ac4336ce8d9a377c1104f8d53fbabdabfab303c49fead55453fec7a8ac41c232,43193,49.77,double,DNA,False
NC_027396,34309449a1533f51b502b8428388aca5ae47debe57450eb15fda49d953b9983f,33756,38.59,double,DNA,True
KU951147,3d25efb770c346dfdec98adb56f4eb08af0e13aac4ec83dc5e00512cc7a15e72,41867,49.80,double,DNA,False
KY705268,465e827beebb7f4e01689c6e8b4c071c1d2a20c2ab1764e69a52aba37428d8b5,34907,39.39,double,DNA,False
MH229862,7058aafdbc3c090f5a22ed6296f5d5da060cd3d513342c9b342fe7fd6fd45011,55137,68.22,double,DNA,False
MK765607,52f7d283e5b9fa39967a67244d52388a1aef1a2a577e9194e1d8c77bf486b6fe,5895,41.42,double,DNA,False
MK765611,8cd26ed535f85df63bc6b1d20c83df383c07aa84ab46dbf4458e524f28358144,5983,42.30,double,DNA,False
NC_050146,4031b8a17229e9c853d9c236ce34675f5195e9d7393a642dd4c85496f0d86f70,65629,55.46,double,DNA,True
NC_054786,ceaf876055776a391f49b2950f272419bca1633d3a9720ca198601a9d6a988c9,53594,63.55,double,DNA,True
MK284521,39238c4649f69d4922bea650675c95745c15504d4759e9930b0cd3a1336b2b84,44268,66.49,double,DNA,False
MH834615,d727171ed0e12b7057ecf06d3b8a816ca5a021ce289fd9801627816f4c5daa17,64596,59.68,double,DNA,False
MN428047,a849e6e724b68859d2b3036252bb7e0ed9e8c8c6a39fa0da9bd7cf26f2433cb0,58666,61.49,double,DNA,False
MW712728,995eabfb985c638bebc3cb822d38ebd9af3095764c66ef878bc2a94501624a16,61903,66.94,double,DNA,False
NC_047963,819804729e4ca129dc7217054974c47f597b748f9ed6be810e5cf3d0ec2bc992,40552,50.09,double,DNA,True
NC_048008,20751a1efc2448e92c9d5de9d177aca46576d06ff8b76828c223b1a35baceb10,111999,40.10,double,DNA,True
